"scalar_flux","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.9991,0,1,5.34,5.34,8,0
9.9991,0,1,5.35,5.35,8,0
9.9991,0,1,5.36,5.36,8,0
9.9992,0,1,5.37,5.37,8,0
9.9992,0,1,5.38,5.38,8,0
9.9992,0,1,5.39,5.39,8,0
9.9992,0,1,5.4,5.4,8,0
9.9992,0,1,5.41,5.41,8,0
9.9992,0,1,5.42,5.42,8,0
9.9992,0,1,5.43,5.43,8,0
9.9993,0,1,5.44,5.44,8,0
9.9993,0,1,5.45,5.45,8,0
9.9993,0,1,5.46,5.46,8,0
9.9993,0,1,5.47,5.47,8,0
9.9993,0,1,5.48,5.48,8,0
9.9993,0,1,5.49,5.49,8,0
9.9993,0,1,5.5,5.5,8,0
9.9993,0,1,5.51,5.51,8,0
9.9994,0,1,5.52,5.52,8,0
9.9994,0,1,5.53,5.53,8,0
9.9994,0,1,5.54,5.54,8,0
9.9994,0,1,5.55,5.55,8,0
9.9994,0,1,5.56,5.56,8,0
9.9994,0,1,5.57,5.57,8,0
9.9994,0,1,5.58,5.58,8,0
9.9994,0,1,5.59,5.59,8,0
9.9994,0,1,5.6,5.6,8,0
9.9994,0,1,5.61,5.61,8,0
9.9995,0,1,5.62,5.62,8,0
9.9995,0,1,5.63,5.63,8,0
9.9995,0,1,5.64,5.64,8,0
9.9995,0,1,5.65,5.65,8,0
9.9995,0,1,5.66,5.66,8,0
9.9995,0,1,5.67,5.67,8,0
9.9995,0,1,5.68,5.68,8,0
9.9995,0,1,5.69,5.69,8,0
9.9995,0,1,5.7,5.7,8,0
9.9995,0,1,5.71,5.71,8,0
9.9995,0,1,5.72,5.72,8,0
9.9995,0,1,5.73,5.73,8,0
9.9996,0,1,5.74,5.74,8,0
9.9996,0,1,5.75,5.75,8,0
9.9996,0,1,5.76,5.76,8,0
9.9996,0,1,5.77,5.77,8,0
9.9996,0,1,5.78,5.78,8,0
9.9996,0,1,5.79,5.79,8,0
9.9996,0,1,5.8,5.8,8,0
9.9996,0,1,5.81,5.81,8,0
9.9996,0,1,5.82,5.82,8,0
9.9996,0,1,5.83,5.83,8,0
9.9996,0,1,5.84,5.84,8,0
9.9996,0,1,5.85,5.85,8,0
9.9996,0,1,5.86,5.86,8,0
9.9996,0,1,5.87,5.87,8,0
9.9996,0,1,5.88,5.88,8,0
9.9997,0,1,5.89,5.89,8,0
9.9997,0,1,5.9,5.9,8,0
9.9997,0,1,5.91,5.91,8,0
9.9997,0,1,5.92,5.92,8,0
9.9997,0,1,5.93,5.93,8,0
9.9997,0,1,5.94,5.94,8,0
9.9997,0,1,5.95,5.95,8,0
9.9997,0,1,5.96,5.96,8,0
9.9997,0,1,5.97,5.97,8,0
9.9997,0,1,5.98,5.98,8,0
9.9997,0,1,5.99,5.99,8,0
9.9997,0,1,6,6,8,0
9.9997,0,1,6.01,6.01,8,0
9.9997,0,1,6.02,6.02,8,0
9.9997,0,1,6.03,6.03,8,0
9.9997,0,1,6.04,6.04,8,0
9.9997,0,1,6.05,6.05,8,0
9.9997,0,1,6.06,6.06,8,0
9.9997,0,1,6.07,6.07,8,0
9.9997,0,1,6.08,6.08,8,0
9.9997,0,1,6.09,6.09,8,0
9.9998,0,1,6.1,6.1,8,0
9.9998,0,1,6.11,6.11,8,0
9.9998,0,1,6.12,6.12,8,0
9.9998,0,1,6.13,6.13,8,0
9.9998,0,1,6.14,6.14,8,0
9.9998,0,1,6.15,6.15,8,0
