"scalar_flux","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,1,6.24,6.24,5,0
1,0,1,6.25,6.25,5,0
1,0,1,6.26,6.26,5,0
1,0,1,6.27,6.27,5,0
1,0,1,6.28,6.28,5,0
1,0,1,6.29,6.29,5,0
1,0,1,6.3,6.3,5,0
1,0,1,6.31,6.31,5,0
1,0,1,6.32,6.32,5,0
1,0,1,6.33,6.33,5,0
1,0,1,6.34,6.34,5,0
1,0,1,6.35,6.35,5,0
1,0,1,6.36,6.36,5,0
1,0,1,6.37,6.37,5,0
1,0,1,6.38,6.38,5,0
1,0,1,6.39,6.39,5,0
1,0,1,6.4,6.4,5,0
1,0,1,6.41,6.41,5,0
1,0,1,6.42,6.42,5,0
1,0,1,6.43,6.43,5,0
1,0,1,6.44,6.44,5,0
1,0,1,6.45,6.45,5,0
1,0,1,6.46,6.46,5,0
1,0,1,6.47,6.47,5,0
1,0,1,6.48,6.48,5,0
1,0,1,6.49,6.49,5,0
1,0,1,6.5,6.5,5,0
1,0,1,6.51,6.51,5,0
1,0,1,6.52,6.52,5,0
1,0,1,6.53,6.53,5,0
1,0,1,6.54,6.54,5,0
1,0,1,6.55,6.55,5,0
1,0,1,6.56,6.56,5,0
1,0,1,6.57,6.57,5,0
1,0,1,6.58,6.58,5,0
1,0,1,6.59,6.59,5,0
1,0,1,6.6,6.6,5,0
1,0,1,6.61,6.61,5,0
1,0,1,6.62,6.62,5,0
1,0,1,6.63,6.63,5,0
1,0,1,6.64,6.64,5,0
1,0,1,6.65,6.65,5,0
1,0,1,6.66,6.66,5,0
1,0,1,6.67,6.67,5,0
1,0,1,6.68,6.68,5,0
1,0,1,6.69,6.69,5,0
1,0,1,6.7,6.7,5,0
1,0,1,6.71,6.71,5,0
1,0,1,6.72,6.72,5,0
1,0,1,6.73,6.73,5,0
1,0,1,6.74,6.74,5,0
1,0,1,6.75,6.75,5,0
1,0,1,6.76,6.76,5,0
1,0,1,6.77,6.77,5,0
1,0,1,6.78,6.78,5,0
1,0,1,6.79,6.79,5,0
1,0,1,6.8,6.8,5,0
1,0,1,6.81,6.81,5,0
1,0,1,6.82,6.82,5,0
1,0,1,6.83,6.83,5,0
1,0,1,6.84,6.84,5,0
1,0,1,6.85,6.85,5,0
1,0,1,6.86,6.86,5,0
1,0,1,6.87,6.87,5,0
1,0,1,6.88,6.88,5,0
1,0,1,6.89,6.89,5,0
1,0,1,6.9,6.9,5,0
1,0,1,6.91,6.91,5,0
1,0,1,6.92,6.92,5,0
1,0,1,6.93,6.93,5,0
1,0,1,6.94,6.94,5,0
1,0,1,6.95,6.95,5,0
1,0,1,6.96,6.96,5,0
1,0,1,6.97,6.97,5,0
1,0,1,6.98,6.98,5,0
1,0,1,6.99,6.99,5,0
1,0,1,7,7,5,0
1,0,1,7.01,7.01,5,0
1,0,1,7.02,7.02,5,0
1,0,1,7.03,7.03,5,0
1,0,1,7.04,7.04,5,0
1,0,1,7.05,7.05,5,0
1,0,1,7.06,7.06,5,0
1,0,1,7.07,7.07,5,0
1,0,1,7.08,7.08,5,0
1,0,1,7.09,7.09,5,0
1,0,1,7.1,7.1,5,0
1,0,1,7.11,7.11,5,0
1,0,1,7.12,7.12,5,0
1,0,1,7.13,7.13,5,0
1,0,1,7.14,7.14,5,0
1,0,1,7.15,7.15,5,0
1,0,1,7.16,7.16,5,0
1,0,1,7.17,7.17,5,0
1,0,1,7.18,7.18,5,0
1,0,1,7.19,7.19,5,0
1,0,1,7.2,7.2,5,0
